filename,contrast_level,contrast_value,frequency_level,frequency_value,orientation_level,theta,min_val,max_val
gabor_cHigh_fLow_oHorizontal.png,High,1.0,Low,3,Horizontal,90,0.06958799968954377,0.998549390061314
gabor_cHigh_fLow_oOblique.png,High,1.0,Low,3,Oblique,45,0.06954498245888441,0.9999145700741048
gabor_cHigh_fLow_oVertical.png,High,1.0,Low,3,Vertical,0,0.06958799968954377,0.998549390061314
gabor_cHigh_fLow_oFree.png,High,1.0,Low,3,Free,117,0.06966981739176503,0.9996537478223322
gabor_cHigh_fHigh_oHorizontal.png,High,1.0,High,12,Horizontal,90,0.008223196952028833,0.9801556311194985
gabor_cHigh_fHigh_oOblique.png,High,1.0,High,12,Oblique,45,0.015533710739581652,0.9999145700741048
gabor_cHigh_fHigh_oVertical.png,High,1.0,High,12,Vertical,0,0.008223196952028833,0.9801556311194985
gabor_cHigh_fHigh_oFree.png,High,1.0,High,12,Free,233,0.005548516244893276,0.9990682674322156
gabor_cHigh_fMixed_oHorizontal.png,High,1.0,Mixed,7,Horizontal,90,0.019672201483796725,0.9924969543971534
gabor_cHigh_fMixed_oOblique.png,High,1.0,Mixed,7,Oblique,45,0.014442413612065774,0.9999145700741048
gabor_cHigh_fMixed_oVertical.png,High,1.0,Mixed,7,Vertical,0,0.019672201483796725,0.9924969543971534
gabor_cHigh_fMixed_oFree.png,High,1.0,Mixed,7,Free,258,0.014355251927872181,0.9988625630314578
gabor_cMedium_fLow_oHorizontal.png,Medium,0.5,Low,3,Horizontal,90,0.2847939998447719,0.749274695030657
gabor_cMedium_fLow_oOblique.png,Medium,0.5,Low,3,Oblique,45,0.2847724912294422,0.7499572850370524
gabor_cMedium_fLow_oVertical.png,Medium,0.5,Low,3,Vertical,0,0.2847939998447719,0.749274695030657
gabor_cMedium_fLow_oFree.png,Medium,0.5,Low,3,Free,118,0.2848392328128392,0.7498405437289469
gabor_cMedium_fHigh_oHorizontal.png,Medium,0.5,High,12,Horizontal,90,0.2541115984760144,0.7400778155597493
gabor_cMedium_fHigh_oOblique.png,Medium,0.5,High,12,Oblique,45,0.2577668553697908,0.7499572850370524
gabor_cMedium_fHigh_oVertical.png,Medium,0.5,High,12,Vertical,0,0.2541115984760144,0.7400778155597493
gabor_cMedium_fHigh_oFree.png,Medium,0.5,High,12,Free,238,0.25283157059238515,0.7491536757362453
gabor_cMedium_fMixed_oHorizontal.png,Medium,0.5,Mixed,7,Horizontal,90,0.25983610074189833,0.7462484771985767
gabor_cMedium_fMixed_oOblique.png,Medium,0.5,Mixed,7,Oblique,45,0.2572212068060329,0.7499572850370524
gabor_cMedium_fMixed_oVertical.png,Medium,0.5,Mixed,7,Vertical,0,0.25983610074189833,0.7462484771985767
gabor_cMedium_fMixed_oFree.png,Medium,0.5,Mixed,7,Free,191,0.257247933279598,0.7494424516045585
gabor_cLow_fLow_oHorizontal.png,Low,0.2,Low,3,Horizontal,90,0.4139175999379088,0.5997098780122628
gabor_cLow_fLow_oOblique.png,Low,0.2,Low,3,Oblique,45,0.41390899649177687,0.599982914014821
gabor_cLow_fLow_oVertical.png,Low,0.2,Low,3,Vertical,0,0.4139175999379088,0.5997098780122628
gabor_cLow_fLow_oFree.png,Low,0.2,Low,3,Free,294,0.41396176308771393,0.5999127595680146
gabor_cLow_fHigh_oHorizontal.png,Low,0.2,High,12,Horizontal,90,0.40164463939040573,0.5960311262238998
gabor_cLow_fHigh_oOblique.png,Low,0.2,High,12,Oblique,45,0.4031067421479163,0.599982914014821
gabor_cLow_fHigh_oVertical.png,Low,0.2,High,12,Vertical,0,0.40164463939040573,0.5960311262238998
gabor_cLow_fHigh_oFree.png,Low,0.2,High,12,Free,332,0.4013120353945245,0.5993140271818307
gabor_cLow_fMixed_oHorizontal.png,Low,0.2,Mixed,7,Horizontal,90,0.40393444029675935,0.5984993908794307
gabor_cLow_fMixed_oOblique.png,Low,0.2,Mixed,7,Oblique,45,0.4028884827224132,0.599982914014821
gabor_cLow_fMixed_oVertical.png,Low,0.2,Mixed,7,Vertical,0,0.40393444029675935,0.5984993908794307
gabor_cLow_fMixed_oFree.png,Low,0.2,Mixed,7,Free,286,0.40285111389393746,0.5998877749918804
